apo_name,holo_name,holo_chain,apo_chain,ligand,ligand_atom_count,loop_per,holo_count
12CA,3ml2,A,A,SU0,42,45.52683896620278,384
12CA,5ty9,A,A,7QV,17,48.17708333333333,384
12CA,1okl,A,A,MNS,17,45.47619047619048,384
12CA,6ecz,A,A,J4D,29,47.82608695652174,384
12CA,4yxi,A,A,4J8,11,46.76056338028169,384
12CA,5n1s,A,A,8GE,19,49.75247524752475,384
12CA,5ny1,A,A,9E5,26,49.65034965034965,384
12CA,3ieo,A,A,AMJ,18,38.9240506329114,384
12CA,6qfv,A,A,J0N,33,44.820717131474105,384
12CA,2o4z,A,A,HSW,6,50.256410256410255,384
12CA,3ibu,A,A,O48,15,49.54337899543379,384
12CA,3s9t,A,A,E49,23,43.61702127659575,384
12CA,3rz0,B,A,RZ0,17,48.42342342342342,384
12CA,4e3g,A,A,MBO,10,48.50498338870432,384
12CA,1g54,A,A,FFB,25,47.27272727272727,384
12CA,4m2r,A,A,BZ1,23,46.516007532956685,384
12CA,5fdc,A,A,5WN,15,47.04225352112676,384
12CA,5nya,A,A,FB2,10,47.22222222222222,384
12CA,3bl1,A,A,BL1,24,46.59340659340659,384
12CA,5ty8,A,A,7Q1,13,51.540616246498594,384
12CA,1g45,A,A,FSB,21,48.97959183673469,384
12CA,5a6h,A,A,OE2,21,46.99074074074074,384
12CA,5ti0,A,A,7CZ,9,52.69461077844312,384
12CA,1z9y,A,A,FUN,21,44.52054794520548,384
12CA,6eda,A,A,J3V,28,44.03669724770643,384
12CA,1g52,A,A,F2B,22,47.66355140186916,384
12CA,1xpz,A,A,4TZ,26,48.13186813186813,384
12CA,3ibn,A,A,O60,20,46.68141592920354,384
12CA,4jsz,A,A,FB2,10,60.67961165048544,384
12CA,6rvl,A,A,KKE,21,46.954314720812185,384
12CA,5flq,A,A,IO2,18,46.927374301675975,384
12CA,5ljt,A,A,A6N,37,47.85276073619632,384
12CA,4mlx,A,A,MBO,10,52.25225225225225,384
12CA,3s76,A,A,EVH,9,52.5,384
12CA,3ryx,B,A,RYX,21,48.0,384
12CA,5fls,A,A,6ZX,13,53.103448275862064,384
12CA,4cq0,A,A,SXS,13,51.16883116883116,384
12CA,4kni,A,A,E1E,23,43.125,384
12CA,1bnq,A,A,AL4,22,45.93967517401392,384
12CA,3ibl,A,A,O59,18,48.55875831485588,384
12CA,3s71,B,A,EVD,13,50.480769230769226,384
12CA,3m5e,A,A,JDR,23,44.44444444444444,384
12CA,3igp,A,A,DT7,18,45.93967517401392,384
12CA,5o07,A,A,1VQ,16,48.18652849740933,384
12CA,3f8e,A,A,TE1,20,34.300791556728235,384
12CA,3hkt,A,A,1SD,15,44.226579520697165,384
12CA,5llg,A,A,VD9,14,47.01086956521739,384
12CA,4q99,A,A,MBO,10,50.31446540880504,384
12CA,5ny6,A,A,9EB,23,19.642857142857142,384
12CA,1i9p,A,A,IOE,23,45.08928571428572,384
12CA,1bn1,A,A,AL5,21,44.69387755102041,384
12CA,3ryv,B,A,RYV,15,46.10091743119266,384
12CA,3t82,A,A,SG4,22,45.17453798767967,384
12CA,3caj,A,A,EZL,16,48.25,384
12CA,2weg,A,A,FBV,11,50.51020408163265,384
12CA,3kig,A,A,DA4,12,45.073891625615765,384
12CA,4z1j,A,A,4KC,22,46.875,384
12CA,6c7w,A,A,LMS,23,47.08520179372198,384
12CA,2hl4,A,A,BO1,22,44.58077709611453,384
12CA,5sz2,A,A,72G,29,59.523809523809526,384
12CA,5aml,A,A,51J,21,46.335697399527184,384
12CA,4qy3,A,A,3G1,18,93.02325581395348,384
12CA,1bnn,A,A,AL1,23,44.55645161290322,384
12CA,5ehe,A,A,WWO,27,43.80165289256198,384
12CA,3ffp,X,A,LC1,18,49.32432432432432,384
12CA,4yxu,A,A,4JE,13,57.38636363636363,384
12CA,5llc,A,A,V26,26,49.08675799086758,384
12CA,6h2z,A,A,FKE,24,45.80152671755725,384
12CA,2wej,A,A,FB2,10,50.256410256410255,384
12CA,4q7w,A,A,MBO,10,52.67857142857143,384
12CA,5e28,A,A,BC5,17,48.06629834254144,384
12CA,4q6e,A,A,KR5,22,48.08612440191388,384
12CA,3p3h,A,A,84A,26,46.50655021834061,384
12CA,4jss,A,A,MBO,10,46.13333333333333,384
12CA,1i9q,A,A,IOF,23,48.6873508353222,384
12CA,5amg,A,A,IW7,22,45.30892448512586,384
12CA,6qfx,A,A,JR3,36,40.64516129032258,384
12CA,6odz,A,A,M8J,25,41.61073825503356,384
12CA,3v7x,A,A,D7A,25,44.612068965517246,384
12CA,3m40,A,A,J45,21,43.8388625592417,384
12CA,3v5g,A,A,0F3,15,50.36496350364964,384
12CA,3vbd,A,A,0FZ,22,45.47368421052632,384
12CA,5gmn,A,A,949,25,41.810344827586206,384
12CA,3bl0,A,A,BL0,13,44.68599033816425,384
12CA,4z1e,A,A,DF5,24,45.06666666666666,384
12CA,3mho,A,A,J43,22,48.598130841121495,384
12CA,4xe1,A,A,IL5,16,43.98907103825137,384
12CA,1zge,A,A,SDA,13,50.125313283208015,384
12CA,2fov,A,A,B30,25,51.417004048583,384
12CA,4e49,A,A,MBO,10,49.30362116991643,384
12CA,4zwy,A,A,4SN,31,48.80694143167028,384
12CA,5fnj,A,A,YI6,13,44.91725768321513,384
12CA,1i8z,A,A,INL,30,43.90243902439025,384
12CA,5u0e,A,A,7R4,14,47.45762711864407,384
12CA,4z0q,A,A,4K9,22,48.48484848484848,384
12CA,6rw1,A,A,KL5,22,47.93814432989691,384
12CA,4qiy,A,A,WWX,35,41.366401497426295,384
12CA,3oy0,A,A,OY0,21,49.56140350877193,384
12CA,5byi,A,A,4WA,19,46.73629242819843,384
12CA,4q8x,A,A,7FH,12,46.93251533742331,384
12CA,5u0d,A,A,7R7,17,49.59568733153639,384
12CA,5wg7,A,A,AUD,15,43.85964912280701,384
12CA,2osm,A,A,HTS,8,51.813471502590666,384
12CA,3mmf,A,A,D9H,34,45.37037037037037,384
12CA,3myq,A,A,E27,28,46.40657084188911,384
12CA,1bnw,A,A,TPD,19,45.68421052631579,384
12CA,6b59,A,A,CQS,43,43.42984409799555,384
12CA,5uln,A,A,8JS,21,46.31578947368421,384
12CA,2x7u,A,A,WZA,26,44.258872651357,384
12CA,3rz8,A,A,RZ8,19,44.81327800829876,384
12CA,1g1d,A,A,FSB,21,48.32535885167464,384
12CA,4e3h,A,A,MBO,10,42.00626959247649,384
12CA,5amd,A,A,45I,25,45.61797752808989,384
12CA,4lp6,A,A,Q4I,97,43.291139240506325,384
12CA,1if7,A,A,SBR,26,44.14414414414414,384
12CA,5ekh,A,A,5RD,16,47.98927613941019,384
12CA,4q87,A,A,4FH,12,50.282485875706215,384
12CA,5sz1,A,A,72E,17,47.540983606557376,384
12CA,4ww6,A,A,3TV,18,47.75,384
12CA,6b4d,A,A,53X,34,52.39294710327456,384
12CA,3sbh,A,A,E65,22,47.4537037037037,384
12CA,5j8z,A,A,FC4,32,42.82560706401766,384
12CA,3r16,A,A,5UN,19,49.41176470588236,384
12CA,2fou,A,A,B22,35,71.53024911032028,384
12CA,6got,A,A,F6W,19,47.96954314720812,384
12CA,2pow,A,A,I7C,19,45.43478260869565,384
12CA,5eij,A,A,5OT,21,45.93175853018373,384
12CA,3p44,A,A,067,26,46.37002341920375,384
12CA,3c7p,A,A,POF,33,46.75615212527964,384
12CA,5ty1,A,A,7QV,17,47.35449735449736,384
12CA,4iwz,A,A,1GO,18,41.84549356223176,384
12CA,4r5b,A,A,3J4,24,43.82566585956417,384
12CA,2osf,A,A,S24,12,50.37037037037037,384
12CA,3p55,A,A,670,26,45.3514739229025,384
12CA,1g4j,A,A,FFB,25,48.30699774266365,384
12CA,5eh8,A,A,5O6,14,54.54545454545454,384
12CA,1kwr,A,A,SG2,15,44.07582938388626,384
12CA,5fdi,A,A,5WM,17,42.56410256410256,384
12CA,2nno,A,A,M28,15,47.34299516908212,384
12CA,2qoa,A,A,MAJ,13,48.69976359338061,384
12CA,4ruy,A,A,3W6,28,46.28099173553719,384
12CA,2q1q,A,A,OSP,18,47.24770642201835,384
12CA,4q6d,A,A,WW3,19,48.30097087378641,384
12CA,1eou,A,A,SMS,22,44.32314410480349,384
12CA,3mzc,A,A,S6I,35,46.66666666666666,384
12CA,6ic2,A,A,BBJ,25,40.63205417607224,384
12CA,1if8,A,A,SBS,26,49.184149184149184,384
12CA,1zfk,A,A,NR2,24,47.16981132075472,384
12CA,3hkq,A,A,1SD,15,46.74698795180723,384
12CA,5drs,A,A,5EF,29,44.0251572327044,384
12CA,5lle,A,A,V51,25,49.74358974358975,384
12CA,4jsa,A,A,MBO,10,46.59400544959128,384
12CA,5sz0,A,A,72D,27,48.79356568364612,384
12CA,3s8x,A,A,E59,22,48.99328859060403,384
12CA,1i9o,A,A,IOC,23,49.1764705882353,384
12CA,3n2p,A,A,AYX,34,43.6036036036036,384
12CA,1i9n,A,A,IOA,22,50.1187648456057,384
12CA,3t83,A,A,SG5,28,43.41085271317829,384
12CA,5thj,A,A,CIT,13,44.51038575667656,384
12CA,1zsb,A,A,AZM,13,45.95238095238095,384
12CA,3daz,A,A,MZM,14,48.655256723716384,384
12CA,4q90,A,A,MBO,10,49.51768488745981,384
12CA,5nxi,A,A,9DE,21,46.228710462287104,384
12CA,3mhl,A,A,J71,23,42.49471458773784,384
12CA,1bnu,A,A,AL3,22,45.539906103286384,384
12CA,5th4,A,A,BEW,8,51.14942528735632,384
12CA,3oim,A,A,VZ5,26,48.80174291938998,384
12CA,1avn,A,A,HSM,8,50.75376884422111,384
12CA,1cin,A,A,MTS,18,88.64734299516908,384
12CA,3oku,A,A,VZ4,26,48.38709677419355,384
12CA,2weh,A,A,FB1,11,48.29268292682927,384
12CA,5eh7,A,A,5O5,15,45.58472553699284,384
12CA,3t84,A,A,SG6,19,45.06172839506173,384
12CA,5e2r,A,A,520,25,47.11538461538461,384
12CA,1bnm,A,A,AL8,25,44.354838709677416,384
12CA,5nxg,A,A,RA1,23,45.5607476635514,384
12CA,4q7v,A,A,MBO,10,51.07033639143731,384
12CA,4g0c,A,A,AZM,18,44.66501240694789,384
12CA,3sap,A,A,E2I,24,46.82713347921225,384
12CA,2h4n,A,A,AZM,13,47.8908188585608,384
12CA,5ll4,A,A,6YH,22,49.40047961630695,384
12CA,3sbi,A,A,E90,20,50.11600928074246,384
12CA,5nxo,A,A,9HK,20,45.73643410852713,384
12CA,1i9l,A,A,INV,21,49.63325183374083,384
12CA,1bnv,A,A,AL7,25,45.911949685534594,384
12CA,6c7x,A,A,EO7,24,45.08009153318078,384
12CA,6d1l,A,A,FQV,15,47.277227722772274,384
12CA,3t5u,A,A,A09,11,47.18826405867971,384
12CA,5e2s,A,A,5CX,19,49.01477832512315,384
12CA,6hzx,A,A,6H0,28,43.50797266514807,384
12CA,2qo8,A,A,3CC,23,47.27272727272727,384
12CA,2pou,A,A,I7A,16,47.18614718614719,384
12CA,2aw1,A,A,COX,22,45.23809523809524,384
12CA,1cim,A,A,PTS,17,87.5609756097561,384
12CA,3mnu,A,A,BON,20,43.897216274089935,384
12CA,5n1r,A,A,8GH,22,47.24220623501199,384
12CA,3eft,A,A,3BS,26,42.23194748358862,384
12CA,2weo,A,A,FBW,11,48.64864864864865,384
12CA,3m3x,A,A,JS7,24,49.671772428884026,384
12CA,6bc9,A,A,ETS,35,50.89514066496164,384
12CA,5nea,A,A,8V8,16,46.97802197802198,384
12CA,4z1k,A,A,4KB,24,44.27860696517413,384
12CA,3ibi,A,A,BOW,13,48.5781990521327,384
12CA,4pzh,A,A,V13,20,48.27586206896552,384
12CA,6g6t,A,A,ENN,19,50.0,384
12CA,5eh5,A,A,XCZ,11,47.63231197771588,384
12CA,3p58,A,A,P58,12,46.085011185682326,384
12CA,2nnv,A,A,M29,17,47.477064220183486,384
12CA,5u0f,A,A,7R1,18,48.48484848484848,384
12CA,2hoc,A,A,1CN,22,46.7948717948718,384
12CA,4yyt,A,A,S2O,13,48.34254143646409,384
12CA,6oe0,A,A,M8S,27,44.23868312757202,384
12CA,1xq0,A,A,4TR,27,41.76954732510288,384
12CA,3mna,A,A,DWH,36,45.21575984990619,384
12CA,2nng,A,A,ZYX,13,47.58269720101781,384
12CA,3p3j,A,A,498,26,46.69703872437358,384
12CA,5thi,A,A,CIT,13,49.29971988795519,384
12CA,6ebe,A,A,J3V,28,44.03669724770643,384
12CA,6h29,A,A,FK8,11,44.662921348314605,384
12CA,6ugr,A,A,Q71,18,46.895074946466806,384
12CA,4e4a,A,A,JKE,10,49.67532467532468,384
12CA,4rfd,A,A,3O5,16,69.17960088691795,384
12CA,4qtl,A,A,WWO,27,42.5925925925926,384
12CA,4e3f,A,A,GRE,11,46.749226006191954,384
12CA,5flt,A,A,VJJ,16,50.35460992907801,384
12CA,5thn,A,A,CIT,13,53.98230088495575,384
12CA,4q7s,A,A,MBO,10,51.632047477744806,384
12CA,1i9m,A,A,INW,22,48.45605700712589,384
12CA,3oyq,A,A,OYQ,19,48.51258581235698,384
12CA,5ljq,A,A,ANV,37,46.420824295010846,384
12CA,1i90,A,A,INM,21,45.51724137931035,384
12CA,3d9z,A,A,D9Z,16,44.66501240694789,384
12CA,1cnw,A,A,EG1,26,46.66666666666666,384
12CA,5nxv,A,A,9E2,24,45.78313253012048,384
12CA,4itp,A,A,1GD,21,44.2159383033419,384
12CA,6uh0,A,A,PX7,21,50.21929824561403,384
12CA,6hx5,A,A,GXE,7,47.01986754966888,384
12CA,2ez7,A,A,DHI,11,55.13307984790875,384
12CA,3rz1,B,A,RZ1,27,45.38152610441767,384
12CA,3rj7,A,A,RCS,26,44.396551724137936,384
12CA,3dd8,A,A,2C7,24,49.63855421686747,384
12CA,3s75,B,A,EVG,9,47.42268041237113,384
12CA,5wex,A,A,8JS,21,47.56756756756757,384
12CA,3dd0,A,A,EZL,16,49.01960784313725,384
12CA,6pgx,A,A,OJ4,31,29.2,384
12CA,5ny3,A,A,9E8,23,47.02970297029702,384
12CA,6ugn,A,A,Q77,24,46.65226781857452,384
12CA,5llh,A,A,V49,24,47.31457800511509,384
12CA,4yx4,A,A,MBO,10,47.88732394366197,384
12CA,1a42,A,A,BZU,23,45.27027027027027,384
12CA,6rvf,A,A,KKH,21,48.30287206266319,384
12CA,2f14,A,A,FL1,41,47.02127659574468,384
12CA,1ze8,A,A,PIU,21,41.86550976138829,384
12CA,5wlv,A,A,42G,30,42.16867469879519,384
12CA,4q81,A,A,7MH,10,49.71428571428572,384
12CA,4pyx,A,A,V90,26,45.45454545454545,384
12CA,5vgy,A,A,9AA,19,49.86595174262735,384
12CA,4q83,A,A,3FH,12,47.8021978021978,384
12CA,4mo8,A,A,2VQ,16,47.86967418546366,384
12CA,3po6,A,A,DT9,19,44.398340248962654,384
12CA,1bn3,A,A,AL6,23,44.153225806451616,384
12CA,2gd8,A,A,PO1,30,47.7751756440281,384
12CA,6equ,A,A,BVE,36,51.57232704402516,384
12CA,5flo,A,A,J4K,14,46.53465346534654,384
12CA,1kwq,A,A,SG1,19,51.44927536231884,384
12CA,3ryy,A,A,RYY,16,48.21428571428572,384
12CA,5ehw,A,A,5OO,13,46.24624624624624,384
12CA,5u0g,A,A,7QY,18,50.67750677506775,384
12CA,5txy,A,A,7Q1,13,53.2967032967033,384
12CA,4rux,A,A,3W3,26,46.84931506849316,384
12CA,6ugp,A,A,TRS,20,48.888888888888886,384
12CA,2pov,A,A,I7B,16,46.59340659340659,384
12CA,6oe1,A,A,M8V,26,44.75982532751092,384
12CA,3m1k,A,A,BE7,10,52.04081632653062,384
12CA,3hku,A,A,TOR,22,49.26624737945493,384
12CA,1ydd,A,A,AZM,13,48.02955665024631,384
12CA,5wlt,A,A,86B,19,45.501285347043705,384
12CA,5sz3,A,A,72H,32,48.03921568627451,384
12CA,1zfq,A,A,ZEC,14,47.73869346733669,384
12CA,5nxw,A,A,RA9,21,44.11027568922306,384
12CA,3mhm,A,A,J75,29,43.333333333333336,384
12CA,4ruz,A,A,3W8,25,46.64804469273743,384
12CA,3bet,A,A,CTF,28,44.42013129102845,384
12CA,1cil,A,A,ETS,19,87.32394366197182,384
12CA,2h15,A,A,B19,22,44.42105263157895,384
12CA,2qp6,A,A,MB1,14,47.40566037735849,384
12CA,2x7t,A,A,WZB,30,46.017699115044245,384
12CA,4q8y,A,A,HQT,12,48.49315068493151,384
12CA,5doh,A,A,5DU,27,51.51793928242871,384
12CA,1cnx,A,A,EG2,22,46.25550660792951,384
12CA,4yxo,A,A,4JC,12,41.66666666666667,384
12CA,3oys,A,A,OYS,20,47.980997624703086,384
12CA,1g48,A,A,F6B,22,46.741573033707866,384
12CA,3n0n,A,A,P9B,32,48.17658349328215,384
12CA,1h4n,A,A,TRS,8,49.24242424242424,384
12CA,5nxp,A,A,9DH,22,48.063781321184514,384
12CA,5mjn,A,A,7O8,18,44.47300771208226,384
12CA,1i91,A,A,INQ,29,45.27896995708154,384
12CA,3p5l,A,A,IT5,17,47.55244755244755,384
12CA,3s72,B,A,EVE,13,51.67958656330749,384
12CA,4ht0,A,A,V50,23,47.368421052631575,384
12CA,5n24,A,A,8HE,18,48.79356568364612,384
12CA,3k2f,A,A,NKX,33,44.083969465648856,384
12CA,3hkn,A,A,Z3K,24,41.74573055028464,384
12CA,2hd6,A,A,BOS,20,45.74209245742093,384
12CA,3mhi,A,A,J90,22,49.34782608695652,384
12CA,5nee,A,A,8V5,22,40.54054054054054,384
12CA,2wd3,A,A,MS4,26,55.62248995983936,384
12CA,5n25,A,A,8HK,16,48.78048780487805,384
12CA,2q38,A,A,LSA,12,47.30392156862745,384
12CA,5fni,A,A,YIH,15,45.22613065326633,384
12CA,3mhc,A,A,ARZ,22,45.35637149028078,384
12CA,6h3q,A,A,FMH,17,46.59400544959128,384
12CA,1ydb,A,A,AZM,13,48.507462686567166,384
12CA,3hs4,A,A,AZM,13,46.71361502347418,384
12CA,6bbs,A,A,BZ1,43,46.50537634408602,384
12CA,3t85,A,A,SG7,22,46.41350210970464,384
12CA,3sax,A,A,E50,23,47.266313932980594,384
12CA,3s74,B,A,03T,13,43.42857142857143,384
12CA,1cny,A,A,EG3,33,45.011600928074245,384
12CA,4rfc,A,A,3O1,23,44.5,384
12CA,6d1m,A,A,FQY,17,49.21465968586388,384
12CA,6h34,A,A,FKK,26,48.52941176470589,384
12CA,6h33,A,A,FKQ,25,46.82352941176471,384
12CA,2hnc,A,A,1SA,10,48.984771573604064,384
12CA,3m96,A,A,E38,25,44.65408805031446,384
12CA,4e3d,A,A,GTQ,11,46.440677966101696,384
12CA,6qfw,A,A,JR8,35,40.43010752688172,384
12CA,2x7s,A,A,WZC,26,47.99054373522459,384
12CA,1ttm,A,A,667,21,47.1563981042654,384
12CA,5tfx,A,A,7B1,22,40.49217002237137,384
12CA,1g46,A,A,F2B,22,48.49884526558891,384
12CA,3ni5,A,A,C1H,30,45.6,384
12CA,5n0e,A,A,8F3,30,48.30097087378641,384
12CA,4pyy,A,A,V14,28,45.65217391304348,384
12CA,3zp9,A,A,9TH,39,43.656716417910445,384
12CA,5flp,A,A,6J5,14,54.21686746987952,384
12CA,3s78,B,A,EVJ,9,46.99738903394256,384
12CA,4q9y,A,A,MBO,10,48.20846905537459,384
12CA,1oq5,A,A,CEL,26,39.1812865497076,384
12CA,4z1n,A,A,4KD,22,46.437994722955146,384
12CA,4zx0,A,A,5L2,31,47.956989247311824,384
12CA,3b4f,A,A,TUO,23,50.20746887966805,384
12CA,5e2k,A,A,BX4,17,48.62637362637363,384
12CA,3d8w,A,A,D8W,19,45.88235294117647,384
12CA,3nb5,A,A,R21,24,46.3519313304721,384
12CA,3ryj,B,A,RYJ,18,48.79120879120879,384
12CA,1bnt,A,A,AL2,24,43.31797235023041,384
12CA,1bn4,A,A,AL9,22,44.354838709677416,384
12CA,4knj,A,A,E1F,21,46.50112866817156,384
12CA,5ehv,A,A,5ON,23,50.27624309392266,384
12CA,4qjm,A,A,V1F,32,40.98712446351932,384
12CA,3s73,B,A,EVF,13,49.25,384
12CA,1bcd,A,A,FMS,8,49.87775061124695,384
130L,3run,A,A,OMZ,14,43.776824034334766,1
131L,3run,A,A,OMZ,14,43.776824034334766,1
133L,5lsh,A,A,TVG,15,44.73067915690866,1
134L,5lsh,A,A,TVG,15,44.73067915690866,1
137L,3run,A,A,OMZ,14,43.776824034334766,1
138L,3run,A,A,OMZ,14,43.776824034334766,1
160L,3run,A,A,OMZ,14,43.776824034334766,1
161L,3run,A,A,OMZ,14,43.776824034334766,1
162L,3run,A,A,OMZ,14,43.776824034334766,1
163L,3run,A,A,OMZ,14,43.776824034334766,1
164L,3run,A,A,OMZ,14,43.776824034334766,1
165L,3run,A,A,OMZ,14,43.776824034334766,1
166L,3run,A,A,OMZ,14,43.776824034334766,1
171L,3run,A,A,OMZ,14,43.776824034334766,1
175L,3run,A,A,OMZ,14,43.776824034334766,1
193L,4hp0,A,A,NAG,14,39.49771689497717,5
193L,4z46,A,A,1PT,9,24.0,5
193L,4hpi,A,A,NAG,14,41.48936170212766,5
193L,4tun,A,A,MVH,13,36.024844720496894,5
193L,1at6,A,A,NAG,15,56.93641618497109,5
195L,3run,A,A,OMZ,14,43.776824034334766,1
196L,3run,A,A,OMZ,14,43.776824034334766,1
1A0N,1azg,B,B,,0,68.27586206896552,2
1A0N,4znx,A,B,,0,61.89170664838931,2
1A0S,1a0t,R,P,FRU,12,41.617742987606,1
1A1N,4pr5,A,A,,0,27.989601386481805,12
1A1N,4pra,A,A,,0,25.2863436123348,12
1A1N,4pre,A,A,,0,28.685612788632326,12
1A1N,1zhk,A,A,,0,26.703210649960845,12
1A1N,4prn,A,A,ACT,4,22.41835834068844,12
1A1N,1zhl,A,A,,0,27.83825816485225,12
1A1N,4prd,A,A,ACT,4,29.166666666666668,12
1A1N,6bj3,A,A,EDO,4,40.32623470774808,12
1A1N,4prp,A,A,,0,34.989648033126294,12
1A1N,4prb,A,A,ACT,4,28.368794326241137,12
1A1N,4pri,A,A,,0,35.55830243098475,12
1A1N,1xh3,A,A,,0,27.884615384615387,12
1A1Q,2k1q,A,A,FE3,21,42.67990074441687,1
1A1R,2xni,A,A,TR8,46,31.516936671575845,16
1A1R,2oc7,A,A,HU4,40,36.62374821173104,16
1A1R,2obo,A,A,HUD,36,27.974276527331188,16
1A1R,2p59,B,A,GG4,52,38.801261829652994,16
1A1R,2gvf,A,A,NHN,57,36.24678663239074,16
1A1R,2a4g,A,A,UNH,49,38.56613102595797,16
1A1R,3lox,A,A,MCX,40,28.92690513219285,16
1A1R,2fm2,A,A,3BC,52,33.9572192513369,16
1A1R,2a4r,A,A,BNH,50,36.37515842839037,16
1A1R,2oc0,A,A,HU1,39,35.73407202216066,16
1A1R,2oc1,A,A,HU2,45,37.96791443850268,16
1A1R,2xcn,A,A,C8D,42,31.305637982195844,16
1A1R,2f9v,A,A,BN6,50,37.185929648241206,16
1A1R,2f9u,A,A,5NH,53,39.6486825595985,16
1A1R,2a4q,A,A,FNH,54,40.49295774647887,16
1A1R,3eyd,A,A,BE8,43,30.17241379310345,16
1A23,6pvz,A,A,OZM,33,31.79723502304148,12
1A23,4wf4,B,A,WF4,19,43.722943722943725,12
1A23,4zij,A,A,SFQ,20,25.917926565874733,12
1A23,6poi,A,A,OVS,20,32.44444444444444,12
1A23,6poh,A,A,OVG,18,42.026266416510325,12
1A23,4wey,B,A,EG6,22,40.32258064516129,12
1A23,6pml,A,A,OR4,21,32.25806451612903,12
1A23,4wet,A,A,WEF,31,39.74358974358975,12
1A23,6poq,A,A,OVJ,22,33.00970873786408,12
1A23,4tky,A,A,,0,42.02453987730061,12
1A23,6pvy,A,A,OZG,35,30.813953488372093,12
1A23,2ndo,A,A,SFQ,29,37.0,12
1A2W,1o0m,A,A,U2P,21,26.14379084967321,46
1A2W,1o0n,A,A,U3P,21,27.526132404181187,46
1A2W,1j7z,B,A,,0,31.421446384039903,46
1A2W,1j80,B,A,,0,31.32832080200501,46
1A2W,4o37,B,A,1MH,11,34.82142857142857,46
1A2W,3dxg,A,A,U5P,21,29.18825561312608,46
1A2W,3d6p,A,A,U2S,22,28.421052631578945,46
1A2W,2g8r,A,A,N3E,25,35.1985559566787,46
1A2W,1w4p,A,A,UM3,20,22.568807339449545,46
1A2W,1afl,A,A,ATR,31,48.734177215189874,46
1A2W,1jn4,A,A,139,42,33.90243902439025,46
1A2W,1jvu,A,A,C2P,21,23.588039867109632,46
1A2W,1z6s,A,A,AMP,23,35.66433566433567,46
1A2W,6pvx,A,A,U5F,37,30.11583011583012,46
1A2W,4wyz,A,A,U3P,32,24.35897435897436,46
1A2W,6pvw,A,A,OZV,38,38.64818024263432,46
1A2W,1j81,B,A,,0,31.5,46
1A2W,3d7b,A,A,U4S,21,25.569176882662,46
1A2W,3d8y,A,A,T3S,22,27.290836653386453,46
1A2W,4g8y,A,A,0FT,24,26.26427406199021,46
