pdb_id,apo_pdb_id,apo_chain
4f5y,4EF4,A
4f5y,7T9U,A
4f5y,6YWA,A
4f5y,6DXG,A
4f5y,7SII,A
4f5y,6NT5,A
4f5y,8GSZ,A
4f5y,8GT6,A
4f5y,6O8B,D
4f5y,8GJX,A
4f5y,8IK3,A
4f5y,8STH,A
4f5y,6XF3,A
4f5y,6DNK,A
1bai,1BAI,A
2avo,2AVM,A
1ppi,1PPI,A
1ppi,1KXQ,A
1ppi,1JFH,A
1ppi,1UA3,A
1ppi,1VAH,A
1ppi,1OSE,A
1ppi,1DHK,A
1ppi,1HX0,A
1ppi,1PIF,A
5c28,4DFF,A
5c28,2WEY,A
5c28,3SN7,A
5c28,5C1W,A
5c28,6MSA,A
5c28,2OUN,A
5c28,3UI7,A
5c28,6IJI,A
5c28,2OUV,A
5c28,4AEL,A
5c28,3UUO,A
5c28,5UWF,C
5c28,2OUR,A
5c28,4LKQ,A
5c28,5SG7,A
5c28,5ZNL,A
5c28,4ZO5,A
5c28,4AJD,A
5c28,2Y0J,A
5c28,5SDU,A
5c28,6KO0,A
5c28,6KZE,A
5c28,4YS7,A
5c28,4YQH,A
5c28,3WYK,A
5c28,5SEW,A
5c28,4BBX,A
5c28,4HEU,A
5c28,5EDI,B
5c28,5EDI,A
5c28,5I2R,A
5c28,5EDE,A
5c28,5EDG,A
5c28,5EDH,A
5c28,5EDE,B
5c28,5K9R,A
3vf7,3PWM,A
3ckz,3CKZ,A
3ckz,2HTY,A
3ckz,3CL2,A
2wky,1TXF,A
2wky,2WKY,A
2wky,2F34,A
2wky,1VSO,A
2wky,7YSV,A
2wky,7LVT,A
2wky,7YSJ,A
1fkf,3H9R,B
1fkf,6M4U,A
1fkf,8ER7,A
1fkf,6VCU,A
1fkf,1A7X,A
1fkf,5GKY,B
1fkf,7U0T,B
1fkf,6YF0,A
1fkf,2PPP,A
1fkf,2PPO,A
1fkf,1EYM,A
1fkf,1TCO,C
1fkf,1BL4,A
1fkf,2DG4,A
1fkf,8CHI,A
1fkf,2DG9,A
1fkf,7U8D,A
1fkf,8JGA,A
1fkf,8OXM,A
1fkf,8JCU,2
1fkf,7EPD,A
1fkf,8JCV,2
5cxa,5CXA,A
5cxa,1RMZ,A
5cxa,1OS2,A
5cxa,3EHX,A
5cxa,3BA0,A
5cxa,5N5K,A
5cxa,4GR8,A
5cxa,2K9C,A
5nbw,5NBW,A
4zb8,4ZB7,A
3eax,6NTP,A
3eax,2F6F,A
3eax,5KA0,A
3eax,3CWE,A
3eax,2AZR,A
3eax,1BZJ,A
3eax,5K9V,A
3eax,1LQF,A
3eax,1G7G,A
3eax,1Q6J,A
3eax,7KEY,A
3eax,4Y14,A
3eax,3SME,A
3eax,2CM2,A
3eax,7MKZ,A
3eax,2FJM,A
3eax,4I8N,A
3eax,2NT7,A
3eax,1G7F,A
3eax,5KA4,A
3eax,6PGT,A
3eax,4QBE,A
3eax,6PFW,A
3eax,4QAP,A
3eax,7MNC,A
3eax,5KA8,A
3eax,4QAH,A
3eax,1NL9,A
3eax,5KAD,A
3eax,7KEN,A
3eax,8SKL,A
3eax,6OMY,A
3eax,8U1E,A
3eax,6PHS,A
3eax,7MOW,A
3eax,5T19,A
3eax,6W30,A
3eax,6OLQ,A
3eax,6OLV,A
3eax,1C83,A
3eax,2CMA,A
3eax,4BJO,A
3eax,1G1F,A
3eax,6PHA,A
3eax,5KAA,A
3eax,6CWU,A
3eax,4ZRT,A
3eax,1BZH,A
3eax,7MN9,A
3eax,6CWV,A
3eax,1I57,A
3eax,5KAC,A
3eax,7S4F,A
3eax,7MNE,A
3eax,7MOV,A
3eax,1PA1,A
3eax,1L8G,A
3eax,8EXJ,A
3eax,7L0C,A
3eax,1EEN,A
3eax,3ZMP,A
3eax,3A5K,A
3eax,3QKP,A
3eax,1AAX,A
3eax,1BZC,A
3eax,1PTT,A
3eax,3ZV2,A
3eax,8DU7,A
3eax,6OL4,A
3eax,1OEO,X
3eax,5KA2,A
3eax,3EU0,A
3eax,8EXK,A
3eax,5QDE,A
1hdq,1HDQ,A
1hdq,1PYT,B
1hdq,3FVL,A
1hdq,1ARL,A
1hdq,1ARM,A
6c0s,4TY6,A
6c0s,6TWB,A
6c0s,1XX9,A
6c0s,4NA7,A
6c0s,5EOD,A
6c0s,5I25,A
6c0s,2F83,A
3nxq,3NXQ,A
3nxq,7Z6Z,A
3nxq,5AM8,A
3nxq,2XYD,A
3nxq,5AMC,A
6czf,8W7D,A
6czf,1ECB,A
6czf,6CZF,A
3dx3,1PS3,A
3dx3,1HWW,A
3dx3,1QWN,A
3dx3,1QWU,A
3dx3,6RPC,A
3dx3,3BUD,A
5ot8,5OT8,A
5ot8,4P0I,A
5ot8,4PP0,A
3ibi,6EQU,A
3ibi,4PQ7,A
3ibi,2POV,A
3ibi,3PYK,A
3ibi,5NXI,A
3ibi,1A42,A
3ibi,1CAN,A
3ibi,5JEG,B
3ibi,5ZXW,A
3ibi,1CA3,A
3ibi,1XPZ,A
3ibi,3M04,A
3ibi,4QEF,A
3ibi,3U3A,X
3ibi,5CA2,A
3ibi,1ZSA,A
3ibi,3U47,A
3ibi,1CAK,A
3ibi,12CA,A
3ibi,3U45,X
3ibi,1CNH,A
3ibi,5JES,B
3ibi,3MNJ,A
3ibi,5JEP,B
3ibi,1CAJ,A
3ibi,7ONV,AAA
3ibi,1UGD,A
3ibi,1CVA,A
3ibi,1YDB,A
3ibi,1UGF,A
3ibi,9CA2,A
3ibi,3MNH,A
3ibi,2NXR,A
3ibi,7ONV,A
3ibi,6RMY,A
3ibi,1DCA,A
3ibi,1HED,A
3ibi,1CCT,A
3ibi,5JEH,B
3ibi,1LZV,A
3ibi,3DVD,A
3ibi,1CAL,A
3ibi,1YDD,A
3ibi,1UGE,A
3ibi,1CAI,A
3ibi,1H4N,A
3ibi,1CNJ,A
3ibi,4L5V,A
3ibi,1HEB,A
3ibi,3DVC,A
3ibi,7ONQ,A
3ibi,1HEA,A
3ibi,1G3Z,A
3ibi,3RG4,A
3ibi,3RYV,B
3ibi,1H9Q,A
3ibi,3TVN,X
3ibi,4L5U,A
3ibi,3MNI,A
3ibi,1CNI,A
3ibi,1CNG,A
3ibi,1H9N,A
3ibi,1YDA,A
3ibi,6CA2,A
3ibi,3MNK,A
3ibi,1HEC,A
3ibi,1TH9,A
3ibi,1G0E,A
3ibi,1TG3,A
3ibi,4QK1,A
3ibi,1UGB,A
3ibi,3DV7,A
3ibi,5JG5,B
3ibi,1CCS,A
3ibi,7CA2,A
3ibi,1BIC,A
3ibi,1CVF,A
3ibi,4QK2,A
3ibi,5JGT,B
3ibi,3R16,A
3ibi,1CVC,A
3ibi,1CVE,A
3ibi,7ONQ,AAA
3ibi,1CCU,A
3ibi,1CNK,A
3ibi,1CNB,A
3ibi,4YGJ,A
3ibi,3RLD,A
3ibi,4JS6,A
3ibi,8CA2,A
3ibi,5TH4,A
3ibi,3DBU,A
3ibi,1UGA,A
3ibi,2NWO,A
3ibi,5JDV,B
3ibi,3RG3,A
3ibi,3DVB,A
3ibi,2NWY,A
3ibi,3KIG,A
3ibi,5JG3,B
3ibi,1UGC,A
3ibi,1HVA,A
3ibi,1ZH9,A
3ibi,5JE7,B
3ibi,3RGE,A
3ibi,8OGD,A
3ibi,2FOQ,A
3ibi,4L5W,A
3ibi,3TVO,X
3ibi,6RMX,A
3ibi,4KAP,A
3ibi,2FNK,A
3ibi,1FQL,A
3ibi,4KUV,A
3ibi,1MUA,A
3ibi,4ZWI,A
3ibi,5JGS,B
3ibi,1YO0,A
3ibi,1LG5,A
3ibi,3M1Q,A
3ibi,4BCW,A
3ibi,5T75,A
3ibi,3PJJ,A
3ibi,5T71,A
3ibi,2FNM,A
3ibi,1CVD,A
3ibi,1CVH,A
6p88,6P83,A
6p88,3EH0,A
6p88,4IHG,A
6p88,4IHF,A
5kqx,5KQX,A
3l4w,2QLY,A
3l4w,3L4T,A
1gx8,5K06,A
1gx8,3PH5,A
1gx8,1B0O,A
1gx8,6NKQ,A
1gx8,5HTD,A
1gx8,1BEB,A
1gx8,6QPD,A
1gx8,6QI7,A
1gx8,6QPE,A
1gx8,6RWR,A
1gx8,7BF8,AAA
1gx8,7BH0,AAA
1gx8,7Z9Z,AAA
1gx8,6RWQ,A
1gx8,7BGZ,AAA
1gx8,7BGA,AAA
2ygf,2YGF,A
2qbs,6NTP,A
2qbs,5K9V,A
2qbs,1G7G,A
2qbs,2AZR,A
2qbs,1BZJ,A
2qbs,4Y14,A
2qbs,3SME,A
2qbs,4I8N,A
2qbs,1Q6J,A
2qbs,2CM2,A
2qbs,6PGT,A
2qbs,7MKZ,A
2qbs,1G7F,A
2qbs,5KA4,A
2qbs,1NL9,A
2qbs,4QBE,A
2qbs,5KA8,A
2qbs,2FJM,A
2qbs,7MNC,A
2qbs,8SKL,A
2qbs,6PFW,A
2qbs,7MOW,A
2qbs,2NT7,A
2qbs,2CMA,A
2qbs,4BJO,A
2qbs,5KAD,A
2qbs,6OMY,A
2qbs,4QAH,A
2qbs,8U1E,A
2qbs,6PHS,A
2qbs,5T19,A
2qbs,6OLQ,A
2qbs,4QAP,A
2qbs,2F6F,A
2qbs,1BZH,A
2qbs,1C83,A
2qbs,1G1F,A
2qbs,6PHA,A
2qbs,6W30,A
2qbs,4ZRT,A
2qbs,1I57,A
2qbs,5KAC,A
2qbs,6CWU,A
2qbs,7S4F,A
2qbs,7MNE,A
2qbs,7MOV,A
2qbs,6CWV,A
2qbs,7L0C,A
2qbs,3QKP,A
2qbs,1EEN,A
2qbs,1PA1,A
2qbs,6OLV,A
2qbs,1L8G,A
2qbs,1BZC,A
2qbs,8EXJ,A
2qbs,1AAX,A
2qbs,7KEN,A
2qbs,3ZMP,A
2qbs,3A5K,A
2qbs,1OEO,X
2qbs,5KA2,A
2qbs,1PTT,A
2qbs,3ZV2,A
2qbs,3EU0,A
2qbs,8EXK,A
2qbs,5QDE,A
2qbs,6OL4,A
2qbs,5KA0,A
2qbs,3CWE,A
2qbs,7KEY,A
2qbs,1LQF,A
2qbs,7MN9,A
2qbs,5KAA,A
2qbs,8DU7,A
4oc5,3RBU,A
4oc5,5ELY,A
4oc5,2C6C,A
4oc5,2OOT,A
4oc5,4MCP,A
4oc5,2XEF,A
4oc5,4MCS,A
4oc5,5F09,A
4oc5,3BXM,A
4oc5,5OF0,A
4oc5,1Z8L,A
5dnu,5DNU,A
3bxh,3BXE,A
2xxx,2XXW,A
2xxx,1S50,A
2xxx,2XXR,A
2xxx,3G3G,A
2xxx,3QXM,A
2xxx,4BDL,A
2xxx,4BDQ,A
2xxx,2XXU,A
2xxx,8GC2,A
2xxx,4UQQ,A
2xxx,8F0O,A
2xxx,7F56,A
2xxx,9B35,A
2xxx,8FWQ,A
2xxx,7KS0,B
2xxx,5KUF,A
6qas,8SV9,A
6qas,4WNO,A
6qas,6QAS,A
1yc4,1BYQ,A
1yc4,2CCS,A
1yc4,7LSZ,A
1yc4,4YKQ,A
1yc4,3K98,A
1yc4,1UY6,A
1yc4,3INW,A
1yc4,2XHX,A
1yc4,3B24,A
1yc4,3QDD,A
1yc4,3R4M,A
1yc4,3BM9,A
1yc4,3HHU,A
1yc4,3D0B,A
1yc4,4EEH,A
1yc4,4NH7,A
1yc4,6TN4,AAA
1yc4,2YI0,A
1yc4,2K5B,A
1yc4,4AWO,A
1yc4,2BSM,A
1yc4,4EGH,A
1yc4,4B7P,A
1yc4,2YE2,A
1yc4,5J82,A
1yc4,3EKO,A
1yc4,2FWY,A
1yc4,2XDU,A
1yc4,8X2R,A
1yc4,2XAB,A
1yc4,8B7I,A
1yc4,6LR9,A
1yc4,8KI4,A
1yc4,6GQS,A
1yc4,6EI5,A
1yc4,6U99,A
1yc4,3TUH,A
1yc4,1YC1,A
1yc4,5J6L,A
1yc4,5H22,A
1yc4,3K97,A
1yc4,1UYI,A
1yc4,6OLX,A
1yc4,2JJC,A
1yc4,2YE7,A
1yc4,5J6M,A
1yc4,1OSF,A
1yc4,5J80,A
1yc4,6U98,A
1yc4,6GP4,A
1yc4,4LWE,A
1yc4,5GGZ,A
1yc4,5J2X,A
1yc4,2QF6,A
1yc4,2XJJ,A
1yc4,2QFO,A
1yc4,5J20,A
1yc4,5LQ9,A
1yc4,2YJW,A
1yc4,5LR1,A
1yc4,8FFV,A
1yc4,7KRJ,A
5g1a,5G1C,A
5g1a,5G3W,A
5g1a,5G1A,A
5g1a,2VCG,A
5g1a,1ZZ0,A
5g1a,5G17,A
1jmf,1JMF,A
1jmf,1JMI,A
1jmf,1JMG,A
1jmf,1NJA,A
1jmf,1JMH,A
1jmf,1LCA,A
1jmf,1NJC,A
1jmf,1TSY,A
1jmf,1TDA,A
1jmf,2G86,A
1jmf,1BO8,A
1jmf,1BO7,A
1jmf,1TSX,A
1jmf,1TSV,A
1jmf,2G8D,A
1jmf,1BP0,A
1jmf,1VZB,A
1jmf,2G89,A
1jmf,2G8A,A
1jmf,1VZA,A
1jmf,1BPJ,A
1jmf,1BP6,A
4gih,4GIH,A
4gih,4GVJ,A
4gih,6AAM,A
2vwo,2BOK,A
2vwo,1EZQ,A
2vwo,1C5M,D
2vwo,1G2L,A
2vwo,2Y5F,A
2vwo,7TPP,B
2vwo,1HCG,A
2vwo,3ENS,B
2vwo,2GD4,B
2vwo,1FJS,A
2vwo,2BQ6,B
2vwo,1MQ5,A
2vwo,5VOE,H
5z99,5Z99,A
5z99,5ZA4,A
5z99,5YYB,A
3s0e,3RZS,A
4hp0,1LSG,A
4hp0,3B6L,A
4hp0,5JEN,B
4hp0,4YEO,A
4hp0,5HMV,A
4hp0,7AVE,A
4hp0,193L,A
4hp0,1HEO,A
4hp0,1IR8,A
4hp0,1IR7,A
4hp0,1IR9,A
4hp0,1HEM,A
4hp0,2IFF,Y
4hp0,1HER,A
4hp0,1IOT,A
4hp0,1H6M,A
4hp0,1KXW,A
4hp0,3A3Q,A
4hp0,7YNV,A
4hp0,1LSY,A
4hp0,1LZD,A
4hp0,6F1L,A
4hp0,1FLY,A
4hp0,1FLW,A
4hp0,1FLQ,A
4hp0,1FN5,A
4hp0,1FLU,A
4hp0,1KXY,A
4hp0,3OJP,A
4hp0,1LZG,A
4hp0,3QY4,A
4hp0,1NBY,C
4hp0,1NBZ,C
4hp0,1NDG,C
4hp0,1IOS,A
4hp0,3OK0,A
4hp0,3WVX,A
4hp0,1A2Y,C
4hp0,1AT5,A
4hp0,1UID,A
4hp0,1UIC,A
4hp0,1UIE,A
4hp0,5NJ1,A
4hp0,1UIF,A
3d83,5WJJ,A
3d83,2Y8O,A
3d83,5ETC,A
3d83,1OVE,A
3d83,3ZS5,A
3d83,3K3J,A
3d83,1M7Q,A
3d83,3D83,A
3d83,2YIS,A
3d83,5MZ3,A
3d83,4R3C,A
3d83,1DI9,A
3d83,6M95,A
3d83,3GCU,A
3d83,3D7Z,A
3d83,3DT1,A
3d83,3HVC,A
3d83,3KQ7,A
3d83,1ZZL,A
3d83,3NNU,A
3d83,1IAN,A
3d83,4F9W,A
3d83,5ETI,A
3d83,2BAJ,A
3d83,1A9U,A
3d83,6M9L,A
3d83,3E92,A
3d83,1OZ1,A
3d83,2GFS,A
3d83,2BAL,A
3d83,3MPT,A
3d83,2LGC,A
3d83,2NPQ,A
3d83,2BAQ,A
3d83,5ETF,A
3d83,3S3I,A
3d83,3MH2,A
3d83,5O8U,A
3d83,8VXE,A
3d83,3OEF,X
3d83,5O8V,A
3d83,3FI4,A
3d83,3K3I,A
3d83,4EWQ,A
3d83,8A8M,A
3d83,3MPA,A
3d83,3ODY,X
3d83,3NNX,A
3d83,3MH0,A
3d83,2FSO,X
3d83,3ODZ,X
3d83,3OD6,X
3d83,3MH1,A
3d83,3HEC,A
3d83,3MH3,A
3d83,4E5A,X
4y79,1C5M,D
4y79,1EZQ,A
4y79,1FJS,A
4y79,1G2L,A
4y79,2BQ6,B
4y79,1HCG,A
4y79,7TPP,B
4y79,3ENS,B
4y79,2GD4,B
4y79,1MQ5,A
4y79,2Y5F,A
4y79,5VOE,H
4y79,2BOK,A
4y79,1FAX,A
5orj,5OMY,A
5orj,6YZH,A
5orj,4MD7,E
5orj,7PSU,A
5orj,6TLL,A
5orj,5CLP,A
5orj,5CVG,A
5orj,6Q38,A
5orj,6Z83,AAA
5orj,4MD8,E
5orj,6YPH,A
5orj,6QY7,A
5orj,2R7I,A
5orj,1JWH,A
5orj,1PJK,A
5orj,3H30,A
5orj,3NGA,A
5orj,5KU8,A
5orj,3Q9W,A
5orj,3MB6,A
5orj,6HME,A
5orj,3BQC,A
5orj,7QUX,A
5orj,6Z19,B
5orj,3NSZ,A
5orj,2ZJW,A
5orj,5N1V,A
5orj,5ZN5,A
5orj,3W8L,A
5orj,3Q04,A
5orj,6L23,A
5orj,3U87,A
5orj,5OSL,A
5orj,3JUH,A
5orj,6L22,A
5orj,4DGL,C
5orj,4MD9,E
5orj,6L21,A
5orj,6L24,A
5orj,5MOV,A
5orj,7A4Q,A
5orj,1NA7,A
5orj,5CSP,A
5orj,5ZN0,A
3ibn,6EQU,A
3ibn,1CA3,A
3ibn,4PQ7,A
3ibn,3PYK,A
3ibn,5NXI,A
3ibn,5ZXW,A
3ibn,1XPZ,A
3ibn,4QEF,A
3ibn,1A42,A
3ibn,1CAN,A
3ibn,3U3A,X
3ibn,3M04,A
3ibn,5JEG,B
3ibn,3MNJ,A
3ibn,2NXR,A
3ibn,5CA2,A
3ibn,1ZSA,A
3ibn,3U47,A
3ibn,5JEP,B
3ibn,3MNH,A
3ibn,7ONV,AAA
3ibn,1CAK,A
3ibn,4L5V,A
3ibn,12CA,A
3ibn,1UGD,A
3ibn,1HED,A
3ibn,3U45,X
3ibn,1CNH,A
3ibn,5JES,B
3ibn,1CAJ,A
3ibn,1TH9,A
3ibn,6RMY,A
3ibn,1HEA,A
3ibn,1TG3,A
3ibn,5JEH,B
3ibn,4L5U,A
3ibn,3MNI,A
3ibn,1CVA,A
3ibn,1LZV,A
3ibn,1YDB,A
3ibn,1UGF,A
3ibn,1CAL,A
3ibn,2POV,A
3ibn,9CA2,A
3ibn,1YDD,A
3ibn,3MNK,A
3ibn,1CAI,A
3ibn,7ONV,A
3ibn,1CNJ,A
3ibn,1HEB,A
3ibn,3DVC,A
3ibn,1DCA,A
3ibn,1CCT,A
3ibn,1UGB,A
3ibn,1CNG,A
3ibn,3DVD,A
3ibn,6CA2,A
3ibn,1H4N,A
3ibn,3R16,A
3ibn,7ONQ,A
3ibn,1G3Z,A
3ibn,3RG4,A
3ibn,3RYV,B
3ibn,4QK1,A
3ibn,1H9Q,A
3ibn,3TVN,X
3ibn,1CNI,A
3ibn,5TH4,A
3ibn,1H9N,A
3ibn,1YDA,A
3ibn,7CA2,A
3ibn,1BIC,A
3ibn,5JDV,B
3ibn,4QK2,A
3ibn,1UGE,A
3ibn,5JGT,B
3ibn,1HEC,A
3ibn,1G0E,A
3ibn,1CCU,A
3ibn,4YGJ,A
3ibn,3RLD,A
3ibn,4JS6,A
3ibn,8CA2,A
3ibn,3DV7,A
3ibn,1UGC,A
3ibn,5JG5,B
3ibn,3DBU,A
3ibn,1CCS,A
3ibn,2NWO,A
3ibn,1CVF,A
3ibn,1CVC,A
3ibn,3DVB,A
3ibn,2NWY,A
3ibn,1CVE,A
3ibn,3KIG,A
3ibn,1CNK,A
3ibn,1HVA,A
3ibn,1UGA,A
3ibn,3RG3,A
3ibn,5JE7,B
3ibn,7ONQ,AAA
3ibn,1CNB,A
3ibn,5JG3,B
3ibn,2FOQ,A
3ibn,1ZH9,A
3ibn,4L5W,A
3ibn,3RGE,A
3ibn,8OGD,A
3ibn,3TVO,X
3ibn,4KAP,A
3ibn,2FNK,A
3ibn,1FQL,A
3ibn,6RMX,A
3ibn,4ZWI,A
3ibn,4KUV,A
3ibn,1YO0,A
3ibn,5JGS,B
3ibn,4BCW,A
3ibn,1LG5,A
3ibn,3PJJ,A
3ibn,3M1Q,A
3ibn,5T71,A
3ibn,5T75,A
3ibn,1MUA,A
3ibn,2FNM,A
3ibn,1CVD,A
3ibn,1CVH,A
3cd5,1DQ8,A
3cd5,2Q1L,A
3dx4,1PS3,A
3dx4,1QWN,A
3dx4,1QWU,A
3dx4,1HWW,A
3dx4,6RPC,A
3dx4,3BUD,A
4lzs,4BJX,A
4lzs,4UYD,A
4lzs,6ZCI,A
4lzs,8Q34,A
4lzs,6DJC,A
4lzs,4KV1,A
4lzs,4YH3,A
4lzs,6WVX,A
4lzs,2OSS,A
4lzs,4ZW1,A
4lzs,8CKF,A
4lzs,5U2E,A
4lzs,4LYW,A
4lzs,6AJV,A
4lzs,7TV0,A
4lzs,4HBW,A
4lzs,5VZS,A
4lzs,4UIX,A
4lzs,7Z9W,AAA
4lzs,3JVJ,A
4lzs,4C66,A
4lzs,5S9P,A
4lzs,8C11,A
4lzs,5W55,A
4lzs,5VOM,A
4lzs,4LYS,A
4lzs,4LR6,A
4lzs,6BN8,C
4lzs,6U6K,A
4lzs,5COI,A
4lzs,5U28,A
4lzs,6WW8,A
4lzs,5H21,A
4lzs,6X7B,A
4lzs,6X7D,A
4lzs,5DX4,A
4lzs,4QR3,A
4lzs,6PRT,A
4lzs,4HXK,A
4lzs,5I80,A
4lzs,7T3F,A
4lzs,4Z1Q,A
4lzs,6P05,A
4lzs,4DON,A
4lzs,7LA9,A
4lzs,5YQX,A
4lzs,8OV6,C
4lzs,7X6T,A
4lzs,4HXM,A
4lzs,4X2I,A
4lzs,6CJ2,A
4lzs,5Y8C,A
4lzs,6DNE,A
4lzs,8IBQ,A
4lzs,6JI4,A
4lzs,5LRQ,A
4lzs,5Z9C,A
3kgu,6E6Z,A
3kgu,7Q9L,A
3kgu,4PME,A
3kgu,4DEU,A
3kgu,3FC8,A
3kgu,4PVL,A
3kgu,5E4O,A
3kgu,4PMF,A
3kgu,5EZP,A
3kgu,3CFM,A
3kgu,3I9P,A
3kgu,1ZCR,A
3kgu,1BZD,A
3kgu,2WQA,A
3kgu,7Q3I,AAA
3kgu,8DW5,A
3kgu,8VE5,A
3kgu,5E4A,A
3kgu,1BM7,A
3kgu,6TI9,A
3kgu,5A6I,A
3kgu,4ANK,A
3kgu,6E73,A
3kgu,1DVQ,A
3kgu,1TTR,A
3kgu,8PKE,A
