apo_name,apo_chain,holo_name,holo_chain,pocket_id,pocket_rmsd,pocket_com,protein_id,ligand,ligand_atom_count,apo_pocket_missing_percentage,holo_loop_per
2OUV,A,4zo5,B,1,3.347541570663452,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4Q0,36,0.0,11.594202898550725
2OUV,A,3wyk,A,1,4.054833889007568,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,3KG,28,0.0,22.98050139275766
2OUV,A,3wyl,A,1,7.63977575302124,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,3KB,30,0.0,19.047619047619047
2OUV,A,6msa,A,1,0.426291286945343,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,JY4,18,0.0,22.897196261682243
2OUV,A,5axp,A,1,3.3201539516448975,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4LK,33,0.0,18.29268292682927
2OUV,A,5i2r,A,1,0.7185931205749512,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,67A,29,0.0,20.55442866801893
2OUV,A,3wym,A,1,2.4890453815460205,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,3K9,32,0.0,17.47685185185185
2OUV,A,5c29,A,1,8.522723197937012,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4XY,15,0.0,25.8751902587519
2OUV,A,5axq,A,1,2.1848206520080566,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4LP,37,0.0,17.56440281030445
2OUV,A,6kdz,A,1,0.6578879952430725,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,D79,27,0.0,13.372093023255813
2OUV,A,4p0n,A,1,1.5668854713439941,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,1IS,25,0.0,12.256267409470752
2OUV,A,2y0j,A,1,1.1483829021453857,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,AXC,25,0.0,16.096866096866098
2OUV,A,5znl,A,1,0.6378321647644043,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,9G6,31,0.0,19.646799116997794
2OUV,A,3sn7,A,1,2.270481824874878,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,540,25,0.0,24.31544359255203
2OUV,A,3sni,A,1,3.571303606033325,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,546,24,0.0,24.72035794183445
2OUV,A,4fcb,A,1,2.700688362121582,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,0T7,30,0.0,18.29521829521829
2OUV,A,4fcd,A,1,2.378002166748047,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,0T6,25,0.0,23.82588774341352
2OUV,A,4mvh,A,1,1.142855167388916,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2F5,30,0.0,16.78832116788321
2OUV,A,4heu,A,1,1.860203504562378,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,15J,31,0.0,9.750566893424036
2OUV,A,4mse,A,1,0.47588208317756653,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2ZU,22,0.0,18.5126582278481
2OUV,A,4ys7,A,1,0.5740059614181519,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4GK,27,0.0,13.231197771587745
2OUV,A,2wey,A,1,0.4073605239391327,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,EV1,25,0.0,21.19205298013245
2OUV,A,4phw,A,1,7.064840316772461,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2W1,30,0.0,17.45635910224439
2OUV,A,4ael,A,1,0.741538941860199,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4HN,28,0.0,12.225274725274724
2OUV,A,5c2e,B,1,2.4484636783599854,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4PX,26,0.0,21.74940898345153
2OUV,A,4yqh,A,1,0.5009836554527283,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,4F7,23,0.0,13.157894736842104
2OUV,A,3ws8,A,1,0.8292275667190552,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,X4C,28,0.0,14.36950146627566
2OUV,A,6msc,A,1,0.6536127924919128,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,JY7,24,0.0,19.148936170212767
2OUV,A,3ws9,A,1,0.8216436505317688,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,X4D,27,0.0,16.332378223495702
2OUV,A,4ddl,A,1,2.315014123916626,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,0JQ,31,0.0,17.741935483870968
2OUV,A,4tpp,A,1,1.570268988609314,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,35D,34,0.0,12.23529411764706
2OUV,A,4tpm,A,1,2.1897177696228027,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,35E,29,0.0,14.303482587064677
2OUV,A,6kdx,A,1,0.6290412545204163,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,D6X,24,0.0,15.66265060240964
2OUV,A,5uwf,C,1,0.7621959447860718,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,8Q7,33,0.0,20.647321428571427
2OUV,A,5edi,A,1,0.7911712527275085,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5M9,25,0.0,13.88888888888889
2OUV,A,4muw,A,1,7.524484157562256,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2F4,33,0.0,18.27830188679245
2OUV,A,6ke0,A,1,0.6302850842475891,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,D7C,27,0.0,13.450292397660816
2OUV,A,4ms0,A,1,0.37583765387535095,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2ZX,9,0.0,20.187793427230048
2OUV,A,4wn1,A,1,0.7215455174446106,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,3SJ,32,0.0,16.048034934497817
2OUV,A,6iji,B,1,0.8111936450004578,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,AEL,33,0.0,15.2
2OUV,A,3wi2,A,1,0.7501717805862427,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,P98,30,0.0,13.333333333333334
2OUV,A,5b4l,A,1,7.315905570983887,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,6DW,37,0.0,19.63906581740977
2OUV,A,5b4k,A,1,1.66693913936615,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,6DT,27,0.0,17.073170731707318
2OUV,A,4p1r,A,1,1.5988882780075073,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,2KR,25,0.0,12.936046511627907
2OUV,A,6ijh,A,1,0.6137802600860596,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,AEO,29,0.0,14.325842696629213
