apo_name,apo_chain,holo_name,holo_chain,pocket_id,pocket_rmsd,pocket_com,protein_id,family50_id,ligand,ligand_atom_count,apo_pocket_missing_percentage,apo_loop_per,holo_loop_per
2OUV,A,5axq,A,1,2.1848206520080566,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4LP,37,0.0,93.75,17.56440281030445
2OUV,A,6kdz,A,1,0.6578879952430725,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,D79,27,0.0,94.05762304921969,13.372093023255813
2OUV,A,4p0n,A,1,1.5668854713439941,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,1IS,25,0.0,93.989793989794,12.256267409470752
2OUV,A,2y0j,A,1,1.1483829021453857,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,AXC,25,0.0,94.8594100396757,16.096866096866098
2OUV,A,5znl,A,1,0.6378321647644043,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,9G6,31,0.0,94.58773219297073,19.646799116997794
2OUV,A,3sn7,A,1,2.270481824874878,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,540,25,0.0,94.81757877280266,24.31544359255203
2OUV,A,3sni,A,1,3.571303606033325,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,546,24,0.0,94.95844120452378,24.72035794183445
2OUV,A,4fcb,A,1,2.700688362121582,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,0T7,30,0.0,94.86224028906956,18.29521829521829
2OUV,A,4fcd,A,1,2.378002166748047,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,0T6,25,0.0,95.13233142705147,23.82588774341352
2OUV,A,4mvh,A,1,1.142855167388916,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2F5,30,0.0,95.53086731473299,16.78832116788321
2OUV,A,4heu,A,1,1.860203504562378,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,15J,31,0.0,94.87463126843659,9.750566893424036
2OUV,A,4mse,A,1,0.47588208317756653,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2ZU,22,0.0,95.9405374499714,18.5126582278481
2OUV,A,4ys7,A,1,0.5740059614181519,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4GK,27,0.0,95.28329019269485,13.231197771587745
2OUV,A,2wey,A,1,0.4073605239391327,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,EV1,25,0.0,94.96840058337385,21.19205298013245
2OUV,A,4phw,A,1,7.064840316772461,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2W1,30,0.0,95.9378733572282,17.45635910224439
2OUV,A,4ael,A,1,0.741538941860199,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4HN,28,0.0,95.72459016393444,12.225274725274724
2OUV,A,5c2e,B,1,2.4484636783599854,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4PX,26,0.0,95.72289841883745,21.74940898345153
2OUV,A,4yqh,A,1,0.5009836554527283,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,4F7,23,0.0,96.38668779714739,13.157894736842104
2OUV,A,3ws8,A,1,0.8292275667190552,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,X4C,28,0.0,95.79217967798674,14.36950146627566
2OUV,A,6msc,A,1,0.6536127924919128,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,JY7,24,0.0,96.58391261171798,19.148936170212767
2OUV,A,3ws9,A,1,0.8216436505317688,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,X4D,27,0.0,95.89613679544016,16.332378223495702
2OUV,A,4ddl,A,1,2.315014123916626,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,0JQ,31,0.0,96.57372157629386,17.741935483870968
2OUV,A,4tpp,A,1,1.570268988609314,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,35D,34,0.0,96.53679653679653,12.23529411764706
2OUV,A,4tpm,A,1,2.1897177696228027,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,35E,29,0.0,96.21080584209989,14.303482587064677
2OUV,A,6kdx,A,1,0.6290412545204163,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,D6X,24,0.0,96.58853562311441,15.66265060240964
2OUV,A,5uwf,C,1,0.7621959447860718,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,8Q7,33,0.0,96.5472068868719,20.647321428571427
2OUV,A,5edi,A,1,0.7911712527275085,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,5M9,25,0.0,97.00996677740864,13.88888888888889
2OUV,A,4muw,A,1,7.524484157562256,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2F4,33,0.0,96.97720911635346,18.27830188679245
2OUV,A,6ke0,A,1,0.6302850842475891,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,D7C,27,0.0,96.2787550744249,13.450292397660816
2OUV,A,4ms0,A,1,0.37583765387535095,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2ZX,9,0.0,96.58289241622575,20.187793427230048
2OUV,A,4wn1,A,1,0.7215455174446106,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,3SJ,32,0.0,96.91375034444751,16.048034934497817
2OUV,A,6iji,B,1,0.8111936450004578,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,AEL,33,0.0,97.29275130156188,15.2
2OUV,A,3wi2,A,1,0.7501717805862427,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,P98,30,0.0,97.28428496201008,13.333333333333334
2OUV,A,5b4l,A,1,7.315905570983887,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,6DW,37,0.0,97.00788462834423,19.63906581740977
2OUV,A,5b4k,A,1,1.66693913936615,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,6DT,27,0.0,97.45502075964939,17.073170731707318
2OUV,A,4p1r,A,1,1.5988882780075073,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,2KR,25,0.0,97.17130361961478,12.936046511627907
2OUV,A,6ijh,A,1,0.6137802600860596,"[-4.123624462412241, 9.706226672287817, -8.277438762877594]",7,5,AEO,29,0.0,97.28568974403024,14.325842696629213
